Workshop Map,File ID
A6 Polaris,2898548949
Athens Arena,1454125991
Arid,2683620106
Belgium,1727125581
Buak,3000549606
Bunker Arena,1257784170
California,1905768396
Canyon Arena,1850209768
Carpat,1497352180
Cyprus Arena,1647991167
Cyprus Survival,1647986053
Dango,1850228333
Easter Island,1983200271
Escalation,3251926587
Elver,2136497468
France,1975500516
Greece,1702240229
Hawaii,1753134636
Hawaii Assets,1753131903
Ireland,1411633953
Kuwait,2483365750
PEI Arena,2396897717
Rio de Janeiro,3416057692
Rio de Janeiro (Original),1821848824
Washington Arena,2404652624
